Order ID,order_date,ship_date,ship_mode,customer_id,country_customer,city_customer,state_customer,postal_code_customer,division,region_customer,product_id,product_name,sales,units,gross_profit,cost,lead_time,factory,lat_factory,long_company,city_company,state_company,country_company
CA-2021-100867-CHO-FUD-51000,2024-10-19,2027-04-16,Standard Class,100867,canada,vancouver,british columbia,V6G,Chocolate,pacific,CHO-FUD-51000,wonka bar fudge mallows,10.8,3,7.2,3.6,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-107153-CHO-FUD-51000,2024-09-28,2027-03-26,Standard Class,107153,canada,montreal,quebec,H1A,Chocolate,atlantic,CHO-FUD-51000,wonka bar fudge mallows,7.2,2,4.8,2.4,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,canada,toronto,ontario,M7A,Chocolate,atlantic,CHO-FUD-51000,wonka bar fudge mallows,21.6,6,14.4,7.2,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,canada,toronto,ontario,M7A,Chocolate,atlantic,CHO-MIL-31000,wonka bar milk chocolate,35.75,11,23.21,12.540000000000001,9,wicked choccys,32.076176,-81.088371,savannah,ga,usa
CA-2021-115238-CHO-TRI-54000,2024-01-21,2026-07-17,Standard Class,115238,canada,toronto,ontario,M7A,Chocolate,atlantic,CHO-TRI-54000,wonka bar triple dazzle caramel,18.75,5,12.25,6.5,9,wicked choccys,32.076176,-81.088371,savannah,ga,usa
CA-2021-115777-CHO-NUT-13000,2024-08-19,2027-02-14,Standard Class,115777,canada,montreal,quebec,H1B,Chocolate,atlantic,CHO-NUT-13000,wonka bar nutty crunch surprise,3.49,1,2.49,1.0,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-117964-CHO-NUT-13000,2024-12-02,2027-05-29,Standard Class,117964,canada,moncton,new brunswick,E1A,Chocolate,atlantic,CHO-NUT-13000,wonka bar nutty crunch surprise,24.43,7,17.43,7.0,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-117964-CHO-TRI-54000,2024-12-02,2027-05-29,Standard Class,117964,canada,moncton,new brunswick,E1A,Chocolate,atlantic,CHO-TRI-54000,wonka bar triple dazzle caramel,18.75,5,12.25,6.5,9,wicked choccys,32.076176,-81.088371,savannah,ga,usa
CA-2021-119508-CHO-FUD-51000,2024-12-04,2027-06-01,Standard Class,119508,canada,vancouver,british columbia,V6B,Chocolate,pacific,CHO-FUD-51000,wonka bar fudge mallows,18.0,5,12.0,6.0,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-119508-CHO-NUT-13000,2024-12-04,2027-06-01,Standard Class,119508,canada,vancouver,british columbia,V6B,Chocolate,pacific,CHO-NUT-13000,wonka bar nutty crunch surprise,20.94,6,14.94,6.0,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
CA-2021-123625-CHO-MIL-31000,2024-12-29,2027-06-25,Standard Class,123625,canada,quebec city,quebec,G1B,Chocolate,atlantic,CHO-MIL-31000,wonka bar milk chocolate,48.75,15,31.65,17.1,9,wicked choccys,32.076176,-81.088371,savannah,ga,usa
CA-2021-123664-CHO-MIL-31000,2024-12-02,2027-05-29,Standard Class,123664,canada,halifax,nova scotia,B3H,Chocolate,atlantic,CHO-MIL-31000,wonka bar milk chocolate,16.25,5,10.55,5.7,9,wicked choccys,32.076176,-81.088371,savannah,ga,usa
CA-2021-125388-CHO-SCR-58000,2024-10-19,2027-04-15,Standard Class,125388,canada,montreal,quebec,H1A,Chocolate,atlantic,CHO-SCR-58000,wonka bar scrumdiddlyumptious,14.4,4,10.0,4.4,9,lots o nuts,32.881893,-111.768036,casa grande,az,usa
